55,690.277,12.5
34,942.51,1012.52
34,942.51,254.015
101,1098.58,662.51
101,1081.54,405.006
101,1098.58,400.006
30,584.812,95.001
30,584.812,182.005
30,584.812,100.002
30,584.812,182.006
30,584.812,87.501
30,584.812,110.002
30,584.812,216.507
30,584.812,107.501
30,584.812,102.501
30,584.812,152.503
72,343.379,225.004
72,343.379,212.504
72,343.379,310.005
72,343.379,190.003
72,343.379,239.506
72,343.379,250.004
72,343.379,262.504
72,343.379,190.003
72,343.379,192.503
72,343.379,212.503
72,343.379,232.503
72,343.379,250.004
72,343.379,182.503
72,343.379,205.003
72,343.379,207.504
72,343.379,242.504
72,343.379,274.5
72,343.379,264.5
72,343.379,205
72,343.379,222
72,343.379,185
72,343.379,257
72,343.379,207.5
72,343.379,167.5
72,343.379,202.5
72,343.379,180
72,343.379,162.5
72,343.379,192.5
72,343.379,180
72,343.379,152.5
72,343.379,177.5
72,343.379,160
72,343.379,197.5
72,343.379,150
72,343.379,195
72,343.379,150
72,343.379,146
72,343.379,187.5
72,343.379,166
72,343.379,180
72,343.379,142.5
72,343.379,140
