30,584.812,90.001
30,584.812,9100.14
30,584.812,8977.64
30,584.812,9114.14
30,584.812,9032.64
30,584.812,9302.15
30,584.812,8987.64
30,584.812,14029.2
30,584.812,18704.8
30,584.812,5344.58
72,343.379,136954
72,343.379,71640.3
72,343.379,9287.64
72,343.379,10450.2
72,343.379,11387.7
72,343.379,83922.9
72,343.379,83307.4
72,343.379,15809.7
72,343.379,41350.6
72,343.379,39797.6
72,343.379,75613.7
72,343.379,463751
72,343.379,77459.8
72,343.379,20877.8
72,343.379,10497.7
72,343.379,84297.3
72,343.379,76107
72,343.379,62836
72,343.379,77391
72,343.379,1875.5
72,343.379,1850
72,343.379,17077.5
72,343.379,17090
72,343.379,17204
72,340.663,2716
72,343.379,4275.5
72,343.379,3342.5
72,343.379,3509.5
72,343.379,4921
72,343.379,4927.5
72,343.379,5455
72,343.379,5943.5
72,343.379,6085
72,343.379,6767.5
72,343.379,4715
72,340.82,3957.5
72,343.379,4111
72,343.379,4272.5
72,343.379,4217.5
72,343.379,5298.5
72,343.379,5359.5
72,343.379,5326
135,1625.78,2766.89
135,1625.78,2945.95
135,1642.86,2824.5
135,1642.86,2959.05
135,1642.86,6811.15
135,1642.86,5131.66
135,1642.86,5289.97
135,1642.86,2750.19
135,1642.86,2934.14
135,1642.86,1986.72
135,1642.86,6998.2
135,1633.71,4180.57
135,1623.16,2786.09
135,1626.07,2366.92
135,1625.49,2885.87
45,807.097,417.285
548,109661,48000.9
513,31240.5,26159.9
