Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
E-n22-k4,22,6000,4,375,SWEEP,481.504,4,5
E-n23-k3,23,4500,3,569,SWEEP,697.365,3,5
E-n30-k3,30,4500,3,534,SWEEP,584.812,3,7.5
E-n33-k4,33,8000,4,835,SWEEP,1084.24,5,7.5
E-n51-k5,51,160,5,521,SWEEP,688.249,6,12.5
E-n76-k8,76,180,8,735,SWEEP,906.812,8,16
E-n101-k14,101,112,14,1071,SWEEP,1277.52,15,25
