Instancia,clustering,n,cantidad-pasos,temperatura-max,coefEn,costo-antes,costo-despues,costo-optimo,tiempo
B-n31-k5,SAVINGS,31,1000,20,0.99,1168.99,1168.51,672,3790.06
B-n34-k5,SAVINGS,34,1000,20,0.99,1322.9,1321.19,788,3795.06
B-n35-k5,SAVINGS,35,1000,20,0.99,2035.81,2032.31,955,3950.06
B-n44-k7,SAVINGS,44,1000,20,0.99,1356.34,1351.44,909,4095.06
B-n45-k5,SAVINGS,45,1000,20,0.99,1269.5,1265.56,751,4062.56
B-n50-k7,SAVINGS,50,1000,20,0.99,1341.55,1334.56,741,4842.57
B-n63-k10,SAVINGS,63,1000,20,0.99,2555.54,2549.63,1496,5605.09
B-n67-k10,SAVINGS,67,1000,20,0.99,1657.99,1631.09,1032,6768.6
B-n78-k10,SAVINGS,78,1000,20,0.99,1977.21,1946.14,1221,7927.62
