Instancia,clustering,n,cantidad-pasos,temperatura-max,coefEn,costo-antes,costo-despues,costo-optimo,tiempo
B-n31-k5,VMC,31,1000,20,0.99,772.834,766.079,672,3138.05
B-n34-k5,VMC,34,1000,20,0.99,987.324,981.292,788,3307.55
B-n35-k5,VMC,35,1000,20,0.99,1016.32,1010.89,955,3200.05
B-n44-k7,VMC,44,1000,20,0.99,1214.28,1197.53,909,3770.06
B-n45-k5,VMC,45,1000,20,0.99,1108.1,1043.7,751,3682.56
B-n50-k7,VMC,50,1000,20,0.99,977.162,963.019,741,4230.06
B-n63-k10,VMC,63,1000,20,0.99,1905.04,1878.86,1496,4912.58
B-n67-k10,VMC,67,1000,20,0.99,1211.43,1173.19,1032,5080.08
B-n78-k10,VMC,78,1000,20,0.99,1491.93,1372.78,1221,6252.6
