Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
M-n101-k10,101,200,10,820,SWEEP,1098.58,10,15
M-n121-k7,121,200,7,1034,SWEEP,1426.19,8,20
M-n151-k12,151,200,12,1053,SWEEP,1285.96,12,25
M-n200-k16,200,200,16,1274,SWEEP,1557.89,17,52.5
