Instancia,clustering,n,cantidad-pasos,temperatura-max,coefEn,costo-antes,costo-despues,costo-optimo,tiempo
B-n31-k5,SWEEP,31,1000,20,0.99,713.485,712.77,672,3272.55
B-n34-k5,SWEEP,34,1000,20,0.99,942.51,938.178,788,3112.55
B-n35-k5,SWEEP,35,1000,20,0.99,1123.1,1115.35,955,3307.55
B-n44-k7,SWEEP,44,1000,20,0.99,1233.27,1153.53,909,3765.06
B-n45-k5,SWEEP,45,1000,20,0.99,837.149,837.149,751,3530.05
B-n50-k7,SWEEP,50,1000,20,0.99,886.231,873.027,741,3862.56
B-n63-k10,SWEEP,63,1000,20,0.99,1779.81,1765.24,1496,4777.57
B-n67-k10,SWEEP,67,1000,20,0.99,1204.88,1196.93,1032,4997.58
B-n78-k10,SWEEP,78,1000,20,0.99,1478.27,1451.14,1221,6200.1
