Instancia,clustering,n,cantidad-pasos,temperatura-max,coefEn,costo-antes,costo-despues,costo-optimo,tiempo
X-n513-k21,SWEEP,513,500,20,0.99,31461.8,31270.8,24201,50557
X-n548-k50,SWEEP,548,500,20,0.99,109727,109657,86701,78014
X-n613-k62,SWEEP,613,500,20,0.99,75190.6,75015.7,59556,97515
X-n655-k131,SWEEP,655,500,20,0.99,125556,125308,106780,159829
X-n749-k98,SWEEP,749,500,20,0.99,105400,105269,77365,154450
X-n856-k95,SWEEP,856,500,20,0.99,103908,103802,89002,190620
X-n957-k87,SWEEP,957,500,20,0.99,113454,113377,85478,207628
X-n1001-k43,SWEEP,1001,500,20,0.99,92308.3,92224.3,72402,229223
